module,type,name,res_id,src,value,comments
academia,model_terms,"ir.ui.view,arch_db",academia.session_gantt_view,Session Gantt,,
academia,model,"ir.actions.report,name",academia.report_session,Session Report,,
academia,model_terms,"ir.ui.view,arch_db",academia.session_tree_view,Session Tree,,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,Session name:,,
academia,model,"ir.actions.act_window,name",academia.session_list_action,Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__session_ids,Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__session_ids,Sessions,,
academia,model,"ir.ui.menu,name",academia.session_menu,Sessions,,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Sessions,,
academia,model_terms,"ir.ui.view,arch_db",academia.partner_instructor_form_view,Sessions,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__start_date,Start Date,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__taken_seats,Taken seats,,
academia,model,"res.partner.category,name",academia.teacher1,Teacher / Level 1,,
academia,model,"res.partner.category,name",academia.teacher2,Teacher / Level 2,,
academia,model,"ir.model.constraint,message",academia.constraint_openacademy_course_name_unique,The course title must be unique,,
academia,model,"ir.model.constraint,message",academia.constraint_openacademy_course_name_description_check,The title of the course should not be the description,,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__name,Title,,
academia,model,"ir.model,name",academia.model_openacademy_wizard,Wizard: Quick Registration of Attendees to Sessions,,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,to,,
